species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Orconectes immunis,51.24487929,10.42937521,TRUE,8.504666708,yes
Orconectes incomptus,36.00501283,-85.59573915,TRUE,13.93066674,
Orconectes indianensis,38.09131238,-87.93062402,TRUE,13.25233343,
Orconectes inermis,38.52295748,-86.20503692,TRUE,12.17033333,
Orconectes jeffersoni,38.03816554,-85.96619001,TRUE,13.0356667,
Orconectes jonesi,32.07470162,-88.34943247,TRUE,17.47833339,
Orconectes juvenilis,47.38938631,4.970655888,TRUE,9.526333243,yes
Orconectes juvenilis,37.62087545,-84.12540738,TRUE,12.79266647,
Orconectes kentuckiensis,38.09103606,-88.33125454,TRUE,13.09966671,
Orconectes lancifer,32.59998431,-91.3250898,TRUE,18.21466649,
Orconectes leptogonopodus,34.21109823,-93.92314821,TRUE,15.54833333,
Orconectes limosus,62.20669947,94.09672728,TRUE,-7.21966661,yes
Orconectes limosus,51.27292568,-72.12937343,TRUE,-1.565666626,
Orconectes longidigitus,36.52975103,-92.77280969,TRUE,14.38933343,
Orconectes luteus,38.16167086,-94.71770833,TRUE,13.18133309,
Orconectes macrus,37.15053479,-95.57109151,TRUE,14.26733336,
Orconectes maletae,31.75184708,-93.85682901,TRUE,18.35566672,
Orconectes marchandi,36.44201556,-91.45859788,TRUE,14.1693332,
Orconectes margorectus,37.49700106,-88.20508899,TRUE,13.79933331,
Orconectes medius,38.04197366,-91.10112816,TRUE,12.72300015,
Orconectes meeki,35.81256499,-94.03769837,TRUE,13.44300013,
Orconectes menae,34.20963935,-94.24793549,TRUE,16.03199971,
Orconectes mirus,34.90502502,-86.22331761,TRUE,14.46033329,
Orconectes mississippiensis,33.7528077,-88.78333333,TRUE,16.5606664,
Orconectes nais,34.03729373,-99.10487432,TRUE,17.28766664,
Orconectes nana,36.17401212,-94.73642164,TRUE,14.59799986,
Orconectes neglectus,41.71820557,-74.23418181,TRUE,8.301333338,yes
Orconectes neglectus,35.67856087,-92.49929801,TRUE,14.24966642,
Orconectes obscurus,49.42854895,-84.55604783,TRUE,0.435666824,yes
Orconectes obscurus,42.76027795,-78.81746803,TRUE,8.555333237,
Orconectes obscurus,40.13559452,-78.3637988,TRUE,9.92299998,yes
Orconectes ozarkae,36.51910873,-92.06692473,TRUE,13.87733353,
Orconectes packardi,37.13271045,-84.67508443,TRUE,13.04199995,
Orconectes pagei,35.94242117,-88.49691734,TRUE,14.52366668,
Orconectes palmeri,35.18103313,-91.47347516,TRUE,16.05333332,
Orconectes pardalotus,37.25287522,-88.96572896,TRUE,13.90933324,
Orconectes pellucidus,36.56885198,-86.82291667,TRUE,13.88100006,
Orconectes perfectus,33.00855018,-87.67460073,TRUE,17.15333339,
Orconectes peruncus,36.28727197,-90.15861698,TRUE,14.8843332,
Orconectes placidus,35.37593225,-87.07604167,TRUE,14.3180001,
Orconectes propinquus,47.93954288,-77.72819421,TRUE,1.551333502,
Orconectes punctimanus,36.9978302,-91.10328118,TRUE,13.53466666,
Orconectes putnami,36.77569886,-86.55647294,TRUE,13.88533357,
Orconectes quadruncus,37.10754487,-90.46953755,TRUE,13.51066655,
Orconectes quinebaugensis,42.12950102,-72.5639318,TRUE,9.815333476,
Orconectes rafinesquei,37.98615715,-87.09589814,TRUE,13.21833352,
Orconectes rhoadesi,36.0272923,-87.46265566,TRUE,13.97133336,
Orconectes ronaldi,37.11587515,-86.83532966,TRUE,13.6139999,
Orconectes rusticus,49.76102775,-87.38249551,TRUE,0.065999947,yes
Orconectes rusticus,41.1474644,-84.96068141,TRUE,9.738333325,
Orconectes rusticus,36.54532232,-88.13011955,TRUE,14.34466672,yes
Orconectes sanbornii,38.3835183,-83.39795176,TRUE,11.5916665,
Orconectes saxatilis,34.67263501,-94.67360529,TRUE,15.07066649,
Orconectes sheltae,34.90502502,-86.22331761,TRUE,14.46033329,
Orconectes shoupi,35.89638516,-86.88642343,TRUE,14.20666661,
Orconectes sloanii,39.38662475,-85.31458333,TRUE,10.91533354,
Orconectes spinosus,34.41307992,-84.89755334,TRUE,15.21466649,
Orconectes stannardi,38.09103606,-88.33125454,TRUE,13.09966671,
Orconectes stygocaneyi,36.64199905,-92.42576844,TRUE,13.74499996,
Orconectes taylori,36.43358104,-88.70187068,TRUE,14.39066688,
Orconectes theaphionensis,39.34366075,-86.224688,TRUE,11.18433328,
Orconectes tricuspis,37.47028338,-87.93602072,TRUE,13.82199994,
Orconectes validus,34.46575394,-86.94697526,TRUE,15.48566675,
Orconectes virginiensis,36.68903778,-77.01614032,TRUE,14.98933347,
Orconectes virilis,64.27315479,16.43949025,TRUE,0.798666693,yes
Orconectes virilis,50.11288274,-93.67860716,TRUE,1.883333306,
Orconectes virilis,43.66683327,-77.73479672,TRUE,8.867333353,yes
Orconectes virilis,37.01629877,-89.06382485,TRUE,14.0843333,yes
Orconectes williamsi,36.27036782,-93.71333117,TRUE,13.73366679,
Orconectes wrighti,35.2022774,-88.36276855,TRUE,15.36566671,
Pacifastacus connectens,44.29275018,-117.4582117,TRUE,7.666999986,
Pacifastacus fortis,41.32501781,-121.6625,TRUE,8.45433339,
Pacifastacus gambelii,44.15566021,-113.1273076,TRUE,0.362333308,
Pacifastacus gambelii,38.44556308,-119.1,TRUE,8.990666717,yes
Pacifastacus gambelii,36.46498091,-119.420057,TRUE,17.13933349,yes
Pacifastacus leniusculus,55.75997503,-125.050242,TRUE,0.770666768,
Pacifastacus leniusculus,35.05340634,33.23147882,TRUE,18.50200033,yes
Pacifastacus nigrescens,37.66323564,-121.3705497,TRUE,16.70866644,
Paranephrops planifrons,-38.6261174,175.4906703,TRUE,10.82666679,
Paranephrops zealandicus,-44.69683615,169.9070646,TRUE,6.487666757,
Parastacus brasiliensis,-30.13924571,-51.47354736,TRUE,19.4156669,
Parastacus defossus,-33.74466354,-53.92788107,TRUE,16.70699986,
Parastacus laevigatus,-26.35713863,-49.33020833,TRUE,18.32400004,
Parastacus nicoleti,-39.51193469,-72.48481567,TRUE,11.04933318,
Parastacus pilimanus,-33.95977504,-55.84672063,TRUE,16.53733333,
Parastacus pugnax,-39.10885193,-72.95999921,TRUE,11.64366678,
Parastacus saffordi,-27.41812749,-50.55017291,TRUE,15.61333354,
Parastacus varicosus,-33.31037512,-53.15490909,TRUE,17.1286668,
