OBJECTID,id_no,species,decimalLatitude,decimalLongitude
514,154022,Procambarus acutus,37.10581821,-119.6627836
515,154022,Procambarus acutus,40.19816653,-86.33713072
516,154022,Procambarus acutus,39.6890002,-79.66369564
525,154031,Procambarus advena,32.32910199,-81.92400411
309,153828,Procambarus alleni,27.81086635,-81.48668996
466,153976,Procambarus ancylus,33.2095687,-80.8775088
130,18220,Procambarus angustatus,32.6400464,-84.36868815
101,18191,Procambarus apalachicolae,30.38992037,-85.95633664
205,153708,Procambarus atkinsoni,21.67645961,-82.84066747
102,18192,Procambarus attiguus,29.23354353,-82.03950901
498,154007,Procambarus barbatus,32.47273047,-81.46590181
103,18193,Procambarus barbiger,31.97052059,-89.24138963
276,153796,Procambarus bivittatus,30.71529332,-88.45861698
259,153780,Procambarus blandingii,33.87624296,-80.1143102
308,153827,Procambarus bouvieri,19.2959348,-102.2887103
372,153885,Procambarus braswelli,34.35520192,-79.05698348
104,18194,Procambarus brazoriensis,30.13980229,-95.91600721
304,153823,Procambarus caballeroi,20.49950567,-97.56664367
418,153929,Procambarus capillatus,31.47254543,-87.06773734
298,153817,Procambarus caritus,32.19976917,-82.81789191
361,153876,Procambarus catemacoensis,18.39816464,-95.06131188
377,153890,Procambarus cavernicola,18.00238995,-96.66450143
465,153975,Procambarus ceruleus,30.40506735,-96.44560641
268,153787,Procambarus chacalli,20.75474449,-97.92367658
263,153782,Procambarus chacei,33.35148059,-80.190625
272,153792,Procambarus citlaltepetl,18.49014645,-96.12068392
362,153877,Procambarus clarkii,39.56144292,96.8194031
363,153877,Procambarus clarkii,35.03927204,-87.75365749
364,153877,Procambarus clarkii,33.58923357,-100.4602346
399,153912,Procambarus clemmeri,31.3084788,-88.98217062
105,18195,Procambarus cometes,33.77328817,-88.45625471
100,18189,Procambarus connus,33.25104458,-89.90709031
355,153870,Procambarus contrerasi,18.90016184,-97.89379693
235,153752,Procambarus cubensis,22.09770915,-79.54167294
458,153968,Procambarus cuetzalanae,20.01047745,-97.67901174
411,153924,Procambarus cuevachicae,21.54259764,-98.45797707
294,153813,Procambarus curdi,33.09393296,-97.44166667
106,18196,Procambarus delicatus,28.92071826,-81.84663117
256,153777,Procambarus digueti,21.52803083,-101.8539988
387,153900,Procambarus dupratzi,32.10981673,-94.72870212
131,18221,Procambarus echinatus,33.23133155,-80.84912946
107,18197,Procambarus econfinae,30.16500041,-85.49280178
504,154012,Procambarus elegans,33.68703556,-92.73921148
440,153951,Procambarus enoplosternum,32.8572957,-81.41457156
327,153842,Procambarus epicyrtus,32.56408893,-81.80040691
284,153804,Procambarus erichsoni,20.68776276,-97.56951324
108,18198,Procambarus erythrops,30.32329244,-82.62905386
132,18222,Procambarus escambiensis,31.47254543,-87.06773734
521,154027,Procambarus evermanni,30.70560377,-87.62337293
451,153961,Procambarus fallax,29.03779027,-81.81448602
109,18199,Procambarus fitzpatricki,30.74593216,-89.10981911
110,18200,Procambarus franzi,29.07211982,-82.03021366
331,153846,Procambarus geminus,32.78082033,-93.58620638
507,154015,Procambarus geodytes,29.36729883,-81.75684996
117,18207,Procambarus gibbus,32.36182467,-84.0824516
477,153987,Procambarus gonopodcristatus,20.0077624,-97.05399
441,153952,Procambarus gracilis,41.75726739,-92.17027791
482,153992,Procambarus hagenianus,33.13592013,-88.29217251
393,153906,Procambarus hayi,34.1721901,-89.13890051
467,153977,Procambarus hidalgoensis,21.07948171,-98.458776
266,153785,Procambarus hinei,30.85037616,-93.60086747
244,153766,Procambarus hirsutus,33.51808553,-81.80495828
281,153801,Procambarus hoffmani,20.1748027,-97.65450528
111,18201,Procambarus horsti,30.51143631,-84.0372745
448,153958,Procambarus hortonhobbsi,20.51785916,-97.60120093
329,153844,Procambarus howellae,32.53489037,-83.60687742
481,153991,Procambarus hubbelli,31.11891951,-85.93235687
358,153873,Procambarus hybus,33.14267731,-88.05741612
353,153868,Procambarus incilis,30.08940027,-96.79607952
449,153959,Procambarus jaculus,32.37190301,-90.140625
356,153871,Procambarus kensleyi,32.22153672,-94.02082961
470,153980,Procambarus kilbyi,30.68170346,-83.97934333
118,18208,Procambarus lagniappe,32.13920565,-88.12809362
112,18202,Procambarus latipleurum,30.39507378,-85.30128501
423,153934,Procambarus lecontei,30.91654113,-88.33533362
113,18203,Procambarus leitheuseri,28.2706598,-82.23064027
520,154026,Procambarus leonensis,30.65789923,-84.08543133
360,153875,Procambarus lepidodactylus,34.0471375,-80.09294855
404,153917,Procambarus lewisi,32.21673421,-85.86836478
270,153789,Procambarus litosternum,32.44741972,-81.7452547
357,153872,Procambarus llamasi,17.00529175,-93.29765625
434,153945,Procambarus lophotus,33.45436196,-86.12760444
137,62028,Procambarus lucifugus,28.84152456,-82.25932715
317,153833,Procambarus lunzi,32.51168887,-81.70302142
374,153887,Procambarus lylei,33.8632257,-89.54517442
427,153938,Procambarus machardyi,32.48683789,-94.05922059
277,153797,Procambarus mancus,31.56522971,-89.28645833
450,153960,Procambarus marthae,31.9880391,-87.26666667
529,165917,Procambarus maya,19.0598591,-87.88531347
316,153832,Procambarus medialis,35.70008337,-77.58001401
432,153943,Procambarus mexicanus,18.51017548,-96.86871431
114,18204,Procambarus milleri,25.85775312,-80.81824382
275,153795,Procambarus mirandai,16.55658265,-92.25754219
115,18205,Procambarus morrisi,29.44632768,-81.7730494
487,153996,Procambarus natchitochae,31.2801886,-92.38253187
116,18206,Procambarus nechesae,31.3278886,-94.7411296
119,18209,Procambarus nigrocinctus,31.3278886,-94.7411296
151,153626,Procambarus niveus,22.75670125,-83.02324439
120,18210,Procambarus nueces,28.57695054,-82.19379429
491,154000,Procambarus oaxacae,18.37521688,-96.625
330,153845,Procambarus okaloosae,31.20536698,-86.81605783
273,153793,Procambarus olmecorum,18.63530539,-96.60688443
121,18211,Procambarus orcinus,30.46098303,-84.10968401
269,153788,Procambarus ortmannii,20.01415554,-97.67264326
403,153916,Procambarus ouachitae,33.83522226,-90.3068662
326,153841,Procambarus paeninsulanus,30.58322418,-83.27295447
366,153879,Procambarus pallidus,29.47168846,-82.81975515
384,153897,Procambarus paradoxus,20.01047745,-97.67901174
439,153950,Procambarus parasimulans,34.44692417,-93.00566726
453,153963,Procambarus pearsei,34.74412406,-78.9336603
347,153862,Procambarus penni,31.09587164,-90.01325344
530,165918,Procambarus pentastylus,30.80182315,-92.85512036
383,153896,Procambarus petersi,32.64665299,-82.05660431
123,18213,Procambarus pictus,30.01561965,-81.703091
303,153822,Procambarus pilosimanus,16.2531973,-90.69765625
328,153843,Procambarus planirostris,30.76820556,-89.87084039
124,18214,Procambarus plumimanus,35.33950332,-77.67560381
125,18215,Procambarus pogum,33.86886161,-88.80669891
459,153969,Procambarus pubescens,33.29461101,-82.18528442
247,153769,Procambarus pubischelae,29.42348253,-82.17679969
409,153922,Procambarus pycnogonopodus,30.40220297,-85.99609155
344,153859,Procambarus pygmaeus,31.0577331,-82.10889282
